window,rmse,mape,mae,r2,smape,nrmse
0,123.95,31.98,159.666,-3.743,159.666,0.258
657,143.953,38.944,159.666,-3.743,159.666,0.178
1314,183.428,41.437,159.666,-3.743,159.666,0.221
1971,20.625,33.982,159.666,-3.743,159.666,0.206
2628,87.593,25.387,159.666,-3.743,159.666,0.154
3285,66.033,41.827,159.666,-3.743,159.666,0.161
3942,136.344,40.171,159.666,-3.743,159.666,0.187
4599,89.55,43.836,159.666,-3.743,159.666,0.134
5256,62.695,37.782,159.666,-3.743,159.666,0.128
5913,133.514,45.062,159.666,-3.743,159.666,0.176
6570,85.081,41.133,159.666,-3.743,159.666,0.155
7227,93.961,36.823,159.666,-3.743,159.666,0.159
7884,100.481,36.62,159.666,-3.743,159.666,0.148
8541,151.476,41.328,159.666,-3.743,159.666,0.22
9198,105.798,37.95,159.666,-3.743,159.666,0.158
9855,34.878,33.118,159.666,-3.743,159.666,0.184
10512,117.778,34.04,159.666,-3.743,159.666,0.187
11169,22.663,50.011,159.666,-3.743,159.666,0.378
11826,65.228,31.482,159.666,-3.743,159.666,0.148
12483,44.37,27.354,159.666,-3.743,159.666,0.127
13140,113.54,29.723,159.666,-3.743,159.666,0.149
13797,66.248,32.375,159.666,-3.743,159.666,0.127
14454,17.851,18.865,159.666,-3.743,159.666,0.198
15111,112.766,34.593,159.666,-3.743,159.666,0.148
15768,64.134,27.24,159.666,-3.743,159.666,0.146
16425,52.307,26.524,159.666,-3.743,159.666,0.141
17082,167.781,40.21,159.666,-3.743,159.666,0.271
17739,35.508,43.032,159.666,-3.743,159.666,0.099
18396,95.824,29.398,159.666,-3.743,159.666,0.213
19053,175.38,34.881,159.666,-3.743,159.666,0.217
