dimensions,fuzzy_sets,rmse,mae,mape,smape,nrmse,rmse_std,mae_std,mape_std,smape_std,nrmse_std
2,10,0.439,0.352,474.138,22.663,0.087,0.36,0.281,950.103,7.711,0.037
2,20,0.313,0.245,257.116,17.677,0.064,0.232,0.185,485.763,7.417,0.033
2,30,0.289,0.214,126.689,15.585,0.06,0.269,0.21,295.789,7.991,0.043
2,40,0.269,0.202,103.832,14.722,0.056,0.245,0.196,190.001,8.218,0.034
2,50,0.261,0.179,81.472,12.442,0.055,0.246,0.167,150.509,6.272,0.04
3,10,0.386,0.321,464.364,21.802,0.078,0.32,0.27,930.89,7.934,0.035
3,20,0.289,0.233,285.602,16.937,0.057,0.287,0.251,718.8,8.364,0.031
3,30,0.212,0.147,177.957,11.181,0.044,0.18,0.117,565.016,6.246,0.027
3,40,0.169,0.096,23.472,7.113,0.039,0.12,0.069,23.593,4.811,0.038
3,50,0.124,0.063,40.884,4.419,0.026,0.138,0.06,153.117,3.266,0.021
4,10,0.358,0.304,401.023,20.969,0.073,0.338,0.303,764.186,9.062,0.038
4,20,0.208,0.157,94.504,11.586,0.042,0.214,0.175,206.891,8.244,0.028
4,30,0.119,0.066,70.039,5.684,0.028,0.099,0.044,270.853,3.926,0.026
4,40,0.077,0.035,6.938,2.304,0.015,0.133,0.049,8.357,2.2,0.017
4,50,0.041,0.018,3.909,1.184,0.009,0.047,0.02,4.514,1.371,0.008
5,10,0.33,0.277,421.522,19.616,0.066,0.306,0.279,931.409,8.834,0.033
5,20,0.153,0.102,57.06,7.321,0.028,0.207,0.144,133.715,7.423,0.025
5,30,0.051,0.029,8.667,1.899,0.009,0.11,0.058,17.183,2.799,0.013
5,40,0.016,0.009,2.007,0.465,0.003,0.017,0.013,2.977,0.486,0.003
5,50,0.01,0.006,4.165,0.237,0.002,0.011,0.013,15.063,0.245,0.003
